numbers,volatile acidity,fixed acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcoho,quality
272,0.37,10.9,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5
273,0.715,8.4,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5
274,0.65,7.5,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,5
275,0.545,7.9,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
276,0.54,6.9,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
277,0.18,11.5,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
278,0.32,10.3,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8
279,0.4,8.9,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
280,0.26,11.4,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6
281,0.27,7.7,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7
282,0.52,7.6,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5
283,0.4,8.9,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
284,0.59,9.9,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
285,0.59,9.9,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
286,0.45,12,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6
287,0.4,7.5,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,6
288,0.52,8.7,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
289,0.42,11.6,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5
290,0.52,8.7,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
291,0.2,11,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5
292,0.55,10.4,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6
293,0.36,6.9,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6
294,0.34,13.3,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6
295,0.5,10.8,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5
296,0.83,10.6,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5
297,0.63,7.1,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5
298,0.65,7.2,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5
299,0.67,6.9,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5
300,0.53,7.5,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6
301,0.18,11.1,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6
302,0.705,8.3,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5
303,0.67,7.4,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,5
304,0.65,8.4,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,5
305,0.53,10.3,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6
306,0.62,7.6,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5
307,0.41,10.3,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6
308,0.43,10.3,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6
309,0.29,7.4,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6
310,0.53,10.3,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6
311,0.53,7.9,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,6
312,0.46,9,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6
313,0.47,8.6,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,5
314,0.36,7.4,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5
315,0.35,7.1,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,6
316,0.56,9.6,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,5
317,0.77,9.6,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
318,0.66,9.8,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
319,0.77,9.6,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
320,0.66,9.8,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
321,0.61,9.3,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5
322,0.62,7.8,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5
323,0.59,10.3,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6
324,0.49,10,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6
325,0.49,10,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6
326,0.53,11.6,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7
327,0.44,10.3,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5
328,0.27,13.4,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6
329,0.46,10.7,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,5
330,0.36,10.2,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
331,0.36,10.2,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
332,0.58,8,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,6
333,0.56,8.4,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,5
334,0.65,7.9,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7
335,0.695,11.9,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7
336,0.43,8.9,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6
337,0.43,7.8,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,5
338,0.49,12.4,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,6
339,0.28,12.5,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7
340,0.34,12.2,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,6
341,0.42,10.6,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6
342,0.39,10.9,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
343,0.39,10.9,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
344,0.57,11.9,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,6
345,0.685,7,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,5
346,0.815,6.6,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7
347,0.49,13.8,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6
348,0.56,9.6,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6
349,0.785,9.1,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,6
350,0.67,10.7,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,6
351,0.795,9.1,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6
352,0.665,7.7,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5
353,0.53,13.5,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5
354,0.21,6.1,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6
355,0.75,6.7,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6
356,0.41,11.5,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5
357,0.42,10.5,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7
358,0.43,11.9,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7
359,0.38,12.6,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6
360,0.7,8.2,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,5
361,0.45,8.6,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,6
362,0.58,11.9,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5
363,0.46,12.5,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5
364,0.615,12.8,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
365,0.42,10,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6
366,0.615,12.8,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
367,0.575,10.4,0.61,2.6,0.076,11,24,1,3.16,0.69,9,5
368,0.34,10.3,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5
369,0.27,9.4,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
370,0.765,6.9,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,5
371,0.24,7.9,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,6
372,0.28,9.1,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6
373,0.55,7.4,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,5
374,0.41,14,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6
375,0.54,11.5,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7
376,0.45,11.5,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6
377,0.27,9.4,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
378,0.625,11.4,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,6
379,0.42,8.3,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,6
380,0.26,8.3,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
381,0.415,13.7,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6
382,0.26,8.3,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
383,0.26,8.3,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
384,0.51,7.7,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5
385,0.63,7.4,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6
386,0.54,7.8,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6
387,0.66,8.3,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,6
388,0.46,7.8,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6
389,0.38,9.6,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7
390,0.85,5.6,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8
391,0.415,13.7,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6
392,0.37,9.5,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5
393,0.665,8.4,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,5
394,0.6,12.7,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,5
395,0.37,12,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7
396,0.735,6.6,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5
397,0.59,11.5,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
398,0.59,11.5,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
399,0.765,8.7,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5
400,0.735,6.6,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5
401,0.26,7.7,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,6
402,0.48,12.2,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6
403,0.6,11.4,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6
404,0.69,7.7,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,5
405,0.31,8.7,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6
406,0.44,9.8,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6
407,0.39,12,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7
408,0.34,10.4,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6
409,0.46,12.5,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,4
410,0.43,9,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,6
411,0.45,9.1,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5
412,0.735,7.1,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,5
413,0.4,9.9,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7
414,0.52,8.8,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,5
415,0.725,8.6,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,5
416,0.48,10.6,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6
417,0.58,7,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5
418,0.38,11.9,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6
419,0.77,6.8,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5
420,0.56,9.5,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7
421,0.84,6.6,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
422,0.96,7.7,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
423,0.24,10.5,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
424,0.96,7.7,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
425,0.84,6.6,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
426,0.67,6.4,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6
427,0.78,9.5,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,6
428,0.52,9.1,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5
429,0.84,12.8,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,6
430,0.24,10.5,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
431,0.55,7.8,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5
432,0.37,11.9,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,6
433,0.39,12.3,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
434,0.41,10.4,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
435,0.39,12.3,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
436,0.67,8,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,6
437,0.45,11.1,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6
438,0.41,10.4,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
439,0.62,7,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,5
440,0.31,12.6,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8
441,0.4,11.9,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6
442,0.685,15.6,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7
443,0.44,10,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,7
444,0.57,5.3,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7
445,0.735,9.5,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,6
446,0.38,12.5,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5
447,0.48,9.3,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,5
448,0.53,8.6,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,6
449,0.39,11.9,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6
450,0.39,11.9,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6
451,0.37,8.4,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6
452,0.56,6.8,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,6
453,0.33,10.4,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
454,0.23,7,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5
455,0.62,11.3,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8
456,0.59,8.9,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,5
457,0.63,9.2,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5
458,0.33,10.4,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
459,0.58,11.6,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3
460,0.43,9.2,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6
461,0.615,8.3,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,5
462,0.26,11,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,5
463,0.66,8.1,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5
464,0.315,11.5,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,6
465,0.29,10,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5
466,0.5,10.3,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6
467,0.46,8.8,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6
468,0.36,11.4,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6
469,0.82,8.7,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5
470,0.32,13,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5
471,0.54,9.6,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,6
472,0.37,12.5,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6
473,0.35,9.9,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5
474,0.28,10.5,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,6
475,0.68,9.6,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
476,0.27,9.3,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,5
477,0.24,10.4,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,6
478,0.68,9.6,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
479,0.685,9.4,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6
480,0.28,10.6,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5
481,0.3,9.4,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8
482,0.36,10.6,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5
483,0.36,10.6,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5
484,0.44,10.6,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6
485,0.67,10.2,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5
486,0.67,10.2,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5
487,0.645,10.2,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6
488,0.32,11.6,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7
489,0.39,9.3,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,6
490,0.775,9.3,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6
491,0.41,9.2,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,7
492,0.4,8.9,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,7
493,0.69,8.7,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
494,0.39,6.5,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,6
495,0.35,10.7,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
496,0.52,7.8,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
497,0.34,7.2,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,5
498,0.35,10.7,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
499,0.69,8.7,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
500,0.52,7.8,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
501,0.44,10.4,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
502,0.44,10.4,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
503,0.26,10.5,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7
504,0.24,10.5,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,7
505,0.49,10.2,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,7
506,0.24,10.4,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,7
507,0.67,11.2,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,6
508,0.59,10,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6
509,0.29,13.3,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7
510,0.42,12.4,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,5
511,0.59,10,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6
512,0.4,10.7,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,6
513,0.51,10.5,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7
514,0.51,10.5,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7
515,0.655,8.5,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5
516,0.6,12.5,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,6
517,0.61,10.4,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3
518,0.21,10.9,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,6
519,0.365,7.3,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5
520,0.25,9.8,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,6
521,0.41,7.6,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,5
522,0.39,8.2,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5
523,0.4,9.3,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5
524,0.43,9.2,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,5
525,0.64,10.4,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5
526,0.365,7.3,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5
527,0.38,7,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6
528,0.42,8.2,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,6
529,0.63,9.9,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
530,0.22,9.1,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
531,0.38,11.9,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5
532,0.38,11.9,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5
533,0.27,10.3,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,6
534,0.48,10,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6
535,0.22,9.1,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
536,0.63,9.9,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
537,0.825,8.1,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6
538,0.35,12.9,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,7
539,0.5,11.2,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,5
